Year,US,Northeast,Midwest,South,West
1975,3.33,3.57,3.15,3.54,3.33
1976,3.48,3.62,3.27,3.53,3.62
1977,3.60,3.63,3.61,3.55,3.83
1978,3.70,3.75,3.78,3.68,3.95
1979,3.82,3.88,3.69,3.83,3.99
1980,3.65,3.82,3.46,3.66,3.80
1981,3.61,3.83,3.35,3.71,3.81
1982,3.44,3.78,3.31,3.56,3.54
1983,3.61,3.77,3.77,3.66,3.61
1984,3.56,3.76,3.78,3.49,3.57
1985,3.57,4.05,3.41,3.51,3.59
1986,3.70,4.72,3.55,3.55,3.54
1987,4.01,4.97,3.68,3.67,3.98
1988,4.13,4.90,3.69,3.74,4.39
1989,4.15,4.89,3.78,3.73,4.47
1990,4.10,4.87,3.61,3.67,4.64
1991,3.98,4.72,3.68,3.68,4.37
1992,3.97,5.05,3.75,3.82,3.91
1993,4.05,4.82,3.98,4.04,4.00
1994,4.02,4.84,4.09,3.89,4.08
1995,3.93,4.98,3.74,4.02,3.92
1996,3.94,5.00,3.76,3.86,4.15
1997,3.95,4.88,3.91,3.77,4.09
1998,3.92,4.92,3.88,3.79,3.99
1999,3.96,5.03,3.86,3.91,4.08
2000,4.02,5.20,3.89,3.86,4.37
2001,4.15,5.39,3.94,3.99,4.74
2002,4.42,5.76,4.02,4.13,5.28
2003,4.50,5.66,4.13,4.22,5.57
2004,4.99,6.60,4.58,4.44,5.94
2005,5.20,6.76,4.72,4.68,6.65
2006,5.11,6.65,4.46,4.74,6.46
2007,4.94,6.13,4.32,4.79,6.32
2008,4.61,6.32,4.08,4.47,5.57
2009,4.35,5.70,3.87,4.27,4.90
2010,4.50,6.22,3.95,4.26,4.79
2011,4.54,5.99,4.04,4.51,4.65
2012,4.81,6.75,4.57,4.73,4.90
